County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition",,,
Wilbarger,2/3,"5,800","3,658","2,478","1,180","10,361","2,421",457,304,"4,240",,,
Willacy,11,900,"2,683","2,024",659,"16,897","3,057",325,557,"7,612",,,
Williamson,7,"82,850","66,774","47,142","19,632","458,433","73,202","14,404","4,639","146,388",,,
Wilson,8,"4,500","6,712","4,317","2,395","40,488","8,411","1,224",615,"13,986",,,
Winkler,9/10,500,"1,114",878,236,"5,954",964,102,0,"2,445",,,
Wise,2/3,"7,950","7,969","4,761","3,208","54,722","10,598","3,589",552,"22,459",,,
Wood,4/5N,"2,500","5,943","4,181","1,762","38,005","12,527","1,046",880,"13,019",,,
Yoakum,1,800,"1,326",881,445,"6,135","1,033",225,60,"2,367",,,
Young,2/3,"3,200","2,878","2,018",860,"14,219","3,774",862,431,"5,296",,,
Zapata,11,"1,100","1,584","1,384",200,"9,981","1,866",195,202,"4,642",,,
Zavala,8,200,"2,814","2,378",436,"8,840","1,723",25,60,"4,035",,,
*Other,N/A,"720,525","257,715","216,001","41,714",,,,,,,,
,,,,,,,,,,,,,
